id,content
0,"If you multiply a square number by 9, you get a square number Is this statement... A. always true, B. sometimes true, C. never true, D. Impossible to say"
1,"How much bigger is 3/8 than 1/3? A. 2/24, B. 2/5, C. 1/24, D. 4/11"
2,"Which calculation is equal to −20? A. 2 × (−2) − (−4) × 4, B. −28 − (−4) × 2, C. (−5)² + 5, D. (−42) ÷ (−2) + 1"
3,"What number belongs in the box? □ + 7 = 2 A. 9, B. -5, C. -6, D. 5"
4,"ABCD is a trapezium where AB is parallel to CD. Angle ABC is a right angle. Which sketch below is correctly marked? A. A trapezium with AB parallel to CD, and a right angle at B., B. A trapezium with AB parallel to CD, and a right angle at A., C. A trapezium with AB parallel to CD, and a right angle at C., D. A trapezium with AB parallel to CD, and a right angle at B."
5,"The area of this parallelogram is 96 cm². What is the value of m? A. 84, B. 16, C. 8, D. Not enough information"
6,"Tom says: 7 × (2 + 3) = 7 × 2 + 3 Katie says: 7 × (2 + 3) = 7 × 2 + 7 × 3 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
7,"Here is the completed Venn diagram. What calculation works out the highest common factor of 36 and 90? A. 2 × 2 × 3 × 3 × 3 × 5, B. 2 × 3, C. 2 × 3 × 3 × 5, D. 2 × 3 × 5"
8,"If you can connect dots to draw a regular hexagon in a ring of equally spaced dots, which other regular shape can you definitely draw? A. Equilateral triangle, B. Scalene triangle, C. Square, D. Pentagon"
9,"What is the area of the parallelogram? A. 150 cm², B. 50 cm², C. 30 cm², D. 15 cm²"
10,"What is the equation of this line of symmetry? A. y = -3.5, B. y = -7, C. y = -2, D. Not possible to work out"
11,"-2×-8+-2×5=-2×(+)= A. -8 5 -6, B. -8 5 6, C. 8 5 -6, D. 8 -5 -6"
12,"Tom and Katie are arguing about triangles. Tom says a triangle can have two right angles. Katie says only a scalene triangle can have a right angle. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
13,"What is the area of this shape? A. 3, B. 8, C. 20, D. 4"
14,"What is the size of the missing angle, k, on the larger triangle? A. 60°, B. 120°, C. 30°, D. Not enough information"
15,"What sign would make this statement true? 4/6 ? 10/15 A. >, B. <, C. =, D. ≈"
16,"A common multiple of 4 and 6 is... A. 48, B. 28, C. 2, D. They do not have a common multiple"
17,"This triangle is reflected in the line y = x. Which point is a reflection of the red point? A. A, B. B, C. C, D. D"
18,"(-12) × (-9) = 2 × (-6) × (-9) Is this... A. true because of associativity, B. true because of commutativity, C. true because of distributivity, D. false"
19,"How would this calculation be written? A. (4 - 2 × 3) = 6, B. 4 - 2 × 3 = 6, C. (4 - 2) × 3 = 6, D. 4 - (2 × 3) = 6"
20,"How many lines of symmetry does this shape have? A. 0, B. 1, C. 2, D. 4"
21,"A group of 8 friends share £6 equally. What fraction of the money do they each get? A. 1/8, B. 3/4, C. 1/6, D. 8/6"
22,"27 = ___ × 9 = ___ × 3 × 3 = ___³ Which numbers belong in the gaps? A. 18 18 3, B. 3 3 9, C. 3 3 3, D. 18 3 9"
23,"What is the area of this compound shape made with rectangles? A. 72 cm², B. 39 cm², C. 42 cm², D. 51 cm²"
24,"Which calculation is incorrect? A. (-7) × 2 = -14, B. (-7) × (-2) = -14, C. 7 × 2 = 14, D. 7 × (-2) = -14"
25,"Problem 1: A box contains 10 crystals. Another box has 12 more crystals. How many crystals are the in total? Problem 2: A box contains 10 crystals. Another box has 12 times as many crystals. How many crystals are there in total? Which of these problems needs multiplication to solve it? A. Only Problem 1, B. Only Problem 2, C. Both problems, D. Neither problem"
26,"5 hours + 500 minutes = A. 10 hours, B. 8 hours and 20 minutes, C. 13 hours and 20 minutes, D. 13 hours and 33 minutes"
27,"\(\frac{1}{3} \times (-9) =\) A. -3, B. -\(\frac{9}{27}\), C. -27, D. -\(\frac{1}{27}\)"
28,"If 15 is a common factor of the numbers M and N, then 5 is also a common factor of the numbers M and N"" Is this statement... A. always true, B. sometimes true, C. never true, D. Impossible to say without more information"
29,"(-12) ÷ (-3) = A. 15, B. -15, C. -4, D. 4"
30,"Tom and Katie are talking about different ways of writing the expression on the right. Tom says you could write it as: 2(4g + 10) Katie says you could write it as : 8(g + 5) Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
31,"(-4) × (-2) = A. 6, B. -6, C. 8, D. -8"
32,"What should replace the question mark? $\frac{2}{9} \div \frac{3}{4} = \frac{2}{9} \times ?$ A. $\frac{4}{3}$, B. $\frac{9}{2}$, C. $\frac{3}{4}$, D. 4"
33,"Written as a decimal, what number is the arrow pointing to? A. 0.375, B. 0.3, C. 0.38, D. 0.333..."
34,"(-3)^3 = A. -27, B. 27, C. -9, D. 9"
35,"What is the highest common factor of 6, 9 and 18? A. 1, B. 3, C. 6, D. 18"
36,"Tom and Katie are trying to work out an expression for the area of the whole triangle. Tom says you can do: pr/2 + qr/2 Katie says you can do: (p+q)×r/2 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
37,"Problem 1: A bucket contains 423 red balls and 549 blue balls. How many balls are there in total? Problem 2: A bucket contains 423 red balls and 549 blue balls. How many more blue balls than red balls are there? Which of these problems needs multiplication to solve it? A. Only Problem 1, B. Only Problem 2, C. Both problems, D. Neither problem"
38,"Tom and Katie are arguing about creating inequalities using the diagram on the right. Tom says: 5g > 4p Katie says: 5g < 7r Who is correct? p, g, r and w are positive numbers. A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
39,"Which angle is corresponding to angle p? A. A, B. B, C. C, D. D"
