exercise_id,QuestionId,text
0,0,"If you multiply a square number by 9, you get a square number Is this statement... always true sometimes true never true Impossible to say"
1,1,How much bigger is 3/8 than 1/3? 2/24 2/5 1/24 4/11
2,2,Which calculation is equal to −20? 2 × (−2) − (−4) × 4 −28 − (−4) × 2 (−5)² + 5 (−42) ÷ (−2) + 1
3,3,"What number belongs in the box?
□ + 7 = 2 9 -5 -6 5"
4,4,"ABCD is a trapezium where AB is parallel to CD. Angle ABC is a right angle. Which sketch below is correctly marked? A trapezium with AB parallel to CD, and a right angle at B. A trapezium with AB parallel to CD, and a right angle at A. A trapezium with AB parallel to CD, and a right angle at C. A trapezium with AB parallel to CD, and a right angle at B."
5,5,The area of this parallelogram is 96 cm². What is the value of m? 84 16 8 Not enough information
6,6,"Tom says: 7 × (2 + 3) = 7 × 2 + 3
Katie says: 7 × (2 + 3) = 7 × 2 + 7 × 3
Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
7,7,Here is the completed Venn diagram. What calculation works out the highest common factor of 36 and 90? 2 × 2 × 3 × 3 × 3 × 5 2 × 3 2 × 3 × 3 × 5 2 × 3 × 5
8,8,"If you can connect dots to draw a regular hexagon in a ring of equally spaced dots, which other regular shape can you definitely draw? Equilateral triangle Scalene triangle Square Pentagon"
9,9,What is the area of the parallelogram? 150 cm² 50 cm² 30 cm² 15 cm²
10,10,What is the equation of this line of symmetry? y = -3.5 y = -7 y = -2 Not possible to work out
11,11,"-2×-8+-2×5=-2×(+)= -8
5
-6 -8
5
6 8
5
-6 8
-5
-6"
12,12,Tom and Katie are arguing about triangles. Tom says a triangle can have two right angles. Katie says only a scalene triangle can have a right angle. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
13,13,What is the area of this shape? 3 8 20 4
14,14,"What is the size of the missing angle, k, on the larger triangle? 60° 120° 30° Not enough information"
15,15,"What sign would make this statement true?

4/6 ? 10/15 > < = ≈"
16,16,A common multiple of 4 and 6 is... 48 28 2 They do not have a common multiple
17,17,This triangle is reflected in the line y = x. Which point is a reflection of the red point? A B C D
18,18,(-12) × (-9) = 2 × (-6) × (-9) Is this... true because of associativity true because of commutativity true because of distributivity false
19,19,How would this calculation be written? (4 - 2 × 3) = 6 4 - 2 × 3 = 6 (4 - 2) × 3 = 6 4 - (2 × 3) = 6
20,20,How many lines of symmetry does this shape have? 0 1 2 4
21,21,A group of 8 friends share £6 equally. What fraction of the money do they each get? 1/8 3/4 1/6 8/6
22,22,"27 = ___ × 9 = ___ × 3 × 3 = ___³ Which numbers belong in the gaps? 18
18
3 3
3
9 3
3
3 18
3
9"
23,23,What is the area of this compound shape made with rectangles? 72 cm² 39 cm² 42 cm² 51 cm²
24,24,Which calculation is incorrect? (-7) × 2 = -14 (-7) × (-2) = -14 7 × 2 = 14 7 × (-2) = -14
25,25,Problem 1: A box contains 10 crystals. Another box has 12 more crystals. How many crystals are the in total? Problem 2: A box contains 10 crystals. Another box has 12 times as many crystals. How many crystals are there in total? Which of these problems needs multiplication to solve it? Only Problem 1 Only Problem 2 Both problems Neither problem
26,26,5 hours + 500 minutes = 10 hours 8 hours and 20 minutes 13 hours and 20 minutes 13 hours and 33 minutes
27,27,\(\frac{1}{3} \times (-9) =\) -3 -\(\frac{9}{27}\) -27 -\(\frac{1}{27}\)
28,28,"If 15 is a common factor of the numbers M and N, then 5 is also a common factor of the numbers M and N"" Is this statement... always true sometimes true never true Impossible to say without more information"
29,29,(-12) ÷ (-3) = 15 -15 -4 4
30,30,Tom and Katie are talking about different ways of writing the expression on the right. Tom says you could write it as: 2(4g + 10) Katie says you could write it as : 8(g + 5) Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
31,31,(-4) × (-2) = 6 -6 8 -8
32,32,"What should replace the question mark?

$\frac{2}{9} \div \frac{3}{4} = \frac{2}{9} \times ?$ $\frac{4}{3}$ $\frac{9}{2}$ $\frac{3}{4}$ 4"
33,33,"Written as a decimal, what number is the arrow pointing to? 0.375 0.3 0.38 0.333..."
34,34,(-3)^3 = -27 27 -9 9
35,35,"What is the highest common factor of 6, 9 and 18? 1 3 6 18"
36,36,"Tom and Katie are trying to work out an expression for the area of the whole triangle.
Tom says you can do: pr/2 + qr/2
Katie says you can do: (p+q)×r/2
Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
37,37,Problem 1: A bucket contains 423 red balls and 549 blue balls. How many balls are there in total? Problem 2: A bucket contains 423 red balls and 549 blue balls. How many more blue balls than red balls are there? Which of these problems needs multiplication to solve it? Only Problem 1 Only Problem 2 Both problems Neither problem
38,38,"Tom and Katie are arguing about creating inequalities using the diagram on the right. Tom says: 5g > 4p Katie says: 5g < 7r Who is correct? p, g, r and w are positive numbers. Only Tom Only Katie Both Tom and Katie Neither is correct"
39,39,Which angle is corresponding to angle p? A B C D
40,40,"Think of a number, then subtract 5, next divide by 8, next add 4, and finally multiply by 7. Jo says you can write this as: 7((n-5)/8 + 4) Paul says you can write this as: 7((n-5) ÷ 8) + 4 Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct"
41,41,Which length do you not need when calculating the area of the parallelogram? a b c You need them all
42,42,4/9 of a litre of paint can cover 1 m². What area can 4 litres of paint cover? 4m² 9 m² 16/9 m² 36/16 m²
43,43,Which of these is not a factor of 36? 1 8 9 36
